Date,Open,High,Low,Close,Adj Close,Volume
2024-03-27,179.960007,181.229996,175.399994,179.589996,179.589996,55685600
2024-03-28,179.470001,183.399994,178.300003,180.490005,180.490005,57628600
2024-04-01,180.100006,187.240005,179.899994,183.339996,183.339996,74299900
2024-04-02,179.470001,180.100006,174.830002,178.699997,178.699997,61598800
2024-04-03,177.539993,182.050003,176.699997,180.770004,180.770004,49835100
2024-04-04,182.919998,183.020004,165.649994,165.830002,165.830002,88280000
2024-04-05,168.100006,172.690002,165.580002,170.419998,170.419998,66025200
2024-04-08,168.199997,171.660004,166.820007,169.899994,169.899994,43997500
2024-04-09,170.210007,171.600006,167.289993,170.779999,170.779999,42928000
2024-04-10,166.710007,169.779999,164.000000,167.139999,167.139999,59600000
2024-04-11,167.550003,170.949997,166.550003,170.500000,170.500000,48994500
2024-04-12,164.529999,165.699997,161.820007,163.279999,163.279999,63334200
2024-04-15,164.429993,164.440002,158.759995,160.320007,160.320007,61461200
2024-04-16,162.279999,164.880005,161.669998,163.460007,163.460007,55302100
2024-04-17,163.970001,164.449997,153.880005,154.020004,154.020004,75909000
2024-04-18,155.509995,156.960007,152.320007,155.080002,155.080002,52669800
2024-04-19,151.589996,154.250000,145.289993,146.639999,146.639999,71232500
2024-04-22,148.149994,149.889999,145.630005,148.639999,148.639999,49397000
2024-04-23,151.649994,153.500000,150.350006,152.270004,152.270004,46051900
2024-04-24,156.559998,157.660004,150.630005,151.740005,151.740005,43412600
2024-04-25,149.149994,155.139999,146.750000,153.759995,153.759995,41471400
2024-04-26,154.240005,158.630005,153.429993,157.399994,157.399994,42510700
2024-04-29,159.080002,160.770004,156.259995,160.199997,160.199997,43478200
2024-04-30,160.630005,162.289993,158.350006,158.380005,158.380005,60742800
2024-05-01,148.110001,151.369995,142.139999,144.270004,144.270004,89413200
2024-05-02,145.509995,147.619995,141.160004,146.160004,146.160004,50034700
2024-05-03,148.750000,150.789993,147.240005,150.600006,150.600006,49361100
2024-05-06,153.100006,156.649994,151.259995,155.779999,155.779999,44624500
2024-05-07,156.320007,157.699997,153.660004,154.429993,154.429993,37374900
2024-05-08,153.399994,155.330002,152.520004,153.619995,153.619995,28728000
2024-05-09,153.130005,154.089996,150.610001,152.389999,152.389999,33018000
2024-05-10,154.289993,156.369995,151.309998,151.919998,151.919998,37652800
2024-05-13,151.279999,153.330002,150.399994,150.559998,150.559998,27859200
2024-05-14,150.429993,153.490005,148.779999,153.160004,153.160004,31938300
2024-05-15,155.589996,159.690002,154.699997,159.669998,159.669998,43195900
2024-05-16,160.919998,168.059998,159.899994,162.619995,162.619995,76726700
2024-05-17,168.429993,169.720001,162.320007,164.470001,164.470001,65944400
2024-05-20,165.550003,168.490005,164.470001,166.330002,166.330002,45618000
2024-05-21,164.000000,165.830002,163.100006,164.660004,164.660004,30005500
2024-05-22,167.410004,169.809998,163.860001,165.520004,165.520004,47426700
2024-05-23,170.179993,173.139999,158.270004,160.429993,160.429993,91888800
2024-05-24,161.410004,167.660004,160.250000,166.360001,166.360001,54795400
2024-05-28,169.419998,174.550003,164.960007,171.610001,171.610001,66495400
2024-05-29,167.460007,168.479996,162.910004,165.139999,165.139999,56537500
2024-05-30,167.899994,168.750000,163.800003,166.750000,166.750000,46479900
2024-05-31,166.649994,169.500000,160.070007,166.899994,166.899994,64331900
2024-06-03,170.820007,171.080002,160.910004,163.550003,163.550003,59157600
2024-06-04,162.839996,164.830002,158.869995,159.990005,159.990005,48157200
2024-06-05,162.070007,167.119995,161.380005,166.169998,166.169998,60507500
2024-06-06,165.460007,169.509995,163.860001,166.779999,166.779999,47153700
2024-06-07,166.589996,169.449997,165.860001,167.869995,167.869995,44796000
2024-06-10,162.479996,165.550003,159.610001,160.339996,160.339996,67575600
2024-06-11,160.500000,161.539993,156.919998,158.960007,158.960007,40497100
2024-06-12,160.320007,162.240005,158.619995,160.240005,160.240005,48325800
2024-06-13,160.399994,162.660004,157.309998,159.899994,159.899994,44442500
2024-06-14,158.500000,161.339996,157.610001,159.630005,159.630005,34054000
2024-06-17,158.000000,159.229996,154.139999,158.399994,158.399994,44507700
2024-06-18,156.990005,157.240005,153.339996,154.630005,154.630005,51852000
2024-06-20,155.820007,166.820007,155.500000,161.779999,161.779999,93245700
2024-06-21,161.750000,163.199997,157.889999,161.229996,161.229996,61334700
2024-06-24,159.750000,163.399994,158.190002,160.250000,160.250000,45898500
2024-06-25,160.720001,161.000000,156.460007,160.214996,160.214996,21316196
